,country,continent,population,total_deaths,total_cases,total_tests,recovered
112,Ghana,Africa,32395450.0,1462.0,171889,2541625.0,170425.0
113,Jamaica,North-America,2985094.0,3756.0,156869,1183986.0,
114,Cambodia,Asia,17168639.0,3056.0,139103,3091420.0,136044.0
115,Rwanda,Africa,13600464.0,1468.0,133518,6021981.0,132039.0
116,Cameroon,Africa,27911548.0,1974.0,125379,1751774.0,123280.0
117,Malta,Europe,444033.0,885.0,121420,2170600.0,120149.0
118,Barbados,North-America,288023.0,648.0,110578,814159.0,108647.0
119,Angola,Africa,35027343.0,1937.0,107327,1499795.0,103419.0
120,DRC,Africa,95240792.0,1468.0,99338,846704.0,84489.0
121,Malawi,Africa,20180839.0,2686.0,89535,624784.0,
122,Senegal,Africa,17653671.0,1971.0,89053,1146543.0,87024.0
123,Ivory-Coast,Africa,27742298.0,835.0,88384,1690934.0,87497.0
124,New-Caledonia,Oceania,290915.0,314.0,80064,98964.0,
125,French-Polynesia,Oceania,284164.0,650.0,79254,,
126,Eswatini,Africa,1184817.0,1427.0,75191,1048704.0,73116.0
127,Guyana,South-America,794045.0,1300.0,74137,733218.0,72013.0
128,Belize,North-America,412190.0,688.0,71409,576016.0,
129,Madagascar,Africa,29178077.0,1426.0,68486,531329.0,66862.0
130,Cabo-Verde,Africa,567678.0,417.0,64477,401622.0,63755.0
131,Belarus,Europe,9432800.0,7118.0,994037,13646641.0,985592.0
132,Venezuela,South-America,29266991.0,5856.0,552695,3359014.0,546537.0
133,Egypt,Africa,106156692.0,24613.0,516023,3693367.0,442182.0
134,Qatar,Asia,2979915.0,690.0,514524,4065369.0,513687.0
135,Lithuania,Europe,2661708.0,9897.0,1397806,10540357.0,1387478.0
136,Slovenia,Europe,2078034.0,7100.0,1356546,2847701.0,1349424.0
137,Bulgaria,Europe,6844597.0,38748.0,1339851,11671043.0,1292944.0
138,Croatia,Europe,4059286.0,18687.0,1309728,5660084.0,1258432.0
139,Guatemala,North-America,18584039.0,20289.0,1291293,7593848.0,1269891.0
140,Morocco,Africa,37772756.0,16303.0,1278992,13001033.0,
141,Lebanon,Asia,6684849.0,10952.0,1243838,4795578.0,1087587.0
142,Costa-Rica,North-America,5182354.0,9428.0,1238883,4659757.0,
143,Bolivia,South-America,11992656.0,22407.0,1212131,2710261.0,1177145.0
144,Tunisia,Africa,12046656.0,29423.0,1153361,5013383.0,
145,Cuba,North-America,11305652.0,8530.0,1115251,14402674.0,1106660.0
146,Ecuador,South-America,18113361.0,36043.0,1070188,3082403.0,1034145.0
147,UAE,Asia,10081785.0,2349.0,1067030,200732262.0,
148,Panama,North-America,4446964.0,8727.0,1059893,7882622.0,1051102.0
149,Uruguay,South-America,3496016.0,7664.0,1041111,6114822.0,1030944.0
